ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE,TDI_ANOS_FINAIS,MEDIA_ALUNOS_TURMA_ANOS_FINAIS,PERC_ESCOLAS_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_ALTA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_ALTA_REGULARIDADE_DOCENTE,TAXA_ABANDONO_ANOS_FINAIS
2023,3125309,Faria Lemos,86,4.6952,28.1,20.9,0.0,60.0,40.0,0.0,1.2
2023,3125200,Fama,60,5.3098,11.9,16.9,0.0,33.3,66.7,0.0,0.0
2023,3125101,Extrema,1615,5.3358,12.5,25.5,30.0,60.0,10.0,0.0,0.0
2023,3125002,Ewbank da Câmara,136,4.8898,21.3,25.4,0.0,0.0,75.0,25.0,1.3
2023,3124906,Eugenópolis,214,4.9918,14.7,18.6,12.5,12.5,50.0,25.0,1.1
2023,3124807,Estrela do Sul,175,5.2458,3.3,23.0,0.0,10.0,70.0,20.0,0.0
2023,3124708,Estrela do Indaiá,50,4.9203,14.9,25.3,0.0,50.0,50.0,0.0,0.0
2023,3124500,Estiva,288,5.2937,7.5,28.7,0.0,14.3,85.7,0.0,1.6
2023,3124401,Espírito Santo do Dourado,215,4.8296,8.1,26.7,0.0,16.7,83.3,0.0,0.7
2023,3124302,Espinosa,954,4.5773,5.8,27.9,4.8,38.1,38.1,19.0,0.0
2023,3124203,Espera Feliz,580,4.9357,12.3,22.6,25.0,20.8,45.8,8.4,1.2
2023,3124005,Ervália,524,4.8005,6.4,30.7,9.1,63.6,27.3,0.0,0.5
2023,3123908,Entre Rios de Minas,430,5.2372,17.4,22.4,8.3,8.3,75.0,8.4,1.1
2023,3123858,Entre Folhas,191,4.8766,14.1,29.0,0.0,0.0,66.7,33.3,0.4
2023,3123809,Engenheiro Navarro,207,4.8659,6.3,27.4,0.0,50.0,50.0,0.0,0.8
2023,3123601,Elói Mendes,644,5.2831,16.5,24.5,0.0,6.3,75.0,18.7,4.4
2023,3123528,Durandé,177,4.6644,7.3,26.4,0.0,16.7,33.3,50.0,1.0
2023,3123502,Douradoquara,57,5.3403,3.1,24.0,0.0,0.0,100.0,0.0,0.0
2023,3123403,Doresópolis,54,5.1891,4.1,14.8,0.0,33.3,33.3,33.4,1.3
2023,3123205,Dores do Indaiá,293,5.0813,9.8,22.3,16.7,0.0,83.3,0.0,2.2
2023,3123106,Dores de Guanhães,223,4.6133,12.3,20.0,0.0,50.0,50.0,0.0,0.4
2023,3123007,Dores de Campos,226,5.2619,19.8,28.6,0.0,66.7,33.3,0.0,9.3
2023,3122900,Dona Euzébia,195,4.9842,13.7,24.4,0.0,50.0,50.0,0.0,3.5
2023,3122702,Dom Silvério,119,5.1134,6.2,28.1,0.0,0.0,33.3,66.7,0.9
2023,3122504,Dom Cavati,137,5.164,8.0,29.0,0.0,33.3,66.7,0.0,4.2
2023,3122470,Dom Bosco,140,4.8663,4.7,17.8,20.0,40.0,20.0,20.0,0.0
2023,3122454,Divisópolis,259,4.5386,17.1,33.5,28.6,14.3,42.9,14.2,4.3
2023,3122306,Divinópolis,5237,5.4001,7.1,26.4,10.6,68.2,21.2,0.0,0.3
2023,3122207,Divinolândia de Minas,215,4.8973,13.9,29.3,0.0,0.0,100.0,0.0,6.3
2023,3122108,Divino das Laranjeiras,102,5.0039,12.6,14.4,12.5,50.0,37.5,0.0,0.8
2023,3122009,Divino,528,4.7064,14.6,25.0,28.6,28.6,38.1,4.7,2.2
2023,3121902,Divinésia,123,5.026,13.2,29.4,0.0,33.3,33.3,33.4,1.8
2023,3121803,Dionísio,160,4.9984,7.1,23.4,0.0,0.0,100.0,0.0,0.0
2023,3121704,Diogo de Vasconcelos,106,4.6926,22.2,14.5,0.0,33.3,66.7,0.0,1.6
2023,3121605,Diamantina,1383,4.9603,10.9,22.9,0.0,44.1,52.9,3.0,2.4
