ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3133907,Itaverava,154,4.8303
2023,3134004,Itinga,353,4.4192
2023,3103900,Araújos,296,5.2362
2023,3103801,Arapuá,94,5.1657
2023,3103751,Araporã,220,5.1349
2023,3103702,Araponga,189,4.648
2023,3103603,Arantina,88,5.05
2023,3103504,Araguari,2763,5.2305
2023,3134707,Jacinto,301,4.459
2023,3103405,Araçuaí,1093,4.6319
2023,3103306,Aracitaba,42,4.7439
2023,3103207,Araçaí,82,4.6207
2023,3103108,Antônio Prado de Minas,39,5.2284
2023,3103009,Antônio Dias,248,4.9373
2023,3102902,Antônio Carlos,239,5.1602
2023,3102852,Angelândia,290,4.3909
2023,3102803,Andrelândia,261,5.0915
2023,3102704,Cachoeira de Pajeú,254,4.4671
2023,3102605,Andradas,894,5.292
2023,3102506,Amparo do Serra,124,4.5617
2023,3102407,Alvorada de Minas,185,4.5493
2023,3135407,Jeceaba,156,5.0822
2023,3102308,Alvinópolis,348,4.8369
2023,3102209,Alvarenga,125,4.6553
2023,3135506,Jequeri,340,4.5261
2023,3102100,Alto Rio Doce,293,4.7375
2023,3102050,Alto Caparaó,198,5.0506
2023,3102001,Alterosa,388,5.1844
2023,3101904,Alpinópolis,429,5.2416
2023,3101805,Alpercata,200,5.0767
2023,3101706,Almenara,1107,4.6267
2023,3101631,Alfredo Vasconcelos,213,5.3643
2023,3101607,Alfenas,1482,5.2741
2023,3136504,Jordânia,228,4.5293
2023,3101508,Além Paraíba,628,4.9051
2023,3101409,Albertina,98,5.1901
2023,3101300,Alagoa,84,5.0964
2023,3101201,Aiuruoca,139,5.0126
2023,3101102,Aimorés,577,5.0595
2023,3101003,Águas Vermelhas,422,4.6912
2023,3100906,Águas Formosas,518,4.5985
2023,3100807,Aguanil,143,5.1809
2023,3100708,Água Comprida,57,5.4157
2023,3100609,Água Boa,406,4.4612
2023,3100500,Açucena,187,4.7684
2023,3136801,Juramento,116,4.6254
2023,3100401,Acaiaca,156,4.9935
2023,3100302,Abre Campo,351,4.9838
2023,3100203,Abaeté,570,5.1749
2023,3100104,Abadia dos Dourados,162,5.072
2023,3159902,Santo Antônio do Amparo,456,4.9186
2023,3164100,São Pedro do Suaçuí,180,4.5002
2023,3154309,Resplendor,381,4.9939
2023,3156601,Rubim,224,4.4299
2023,3159100,Santana dos Montes,107,5.054
2023,3166709,Serra dos Aimorés,215,4.7783
2023,3143708,Morro do Pilar,93,4.6684
2023,3143104,Monte Carmelo,1208,5.2605
2023,3139300,Manga,585,4.4622
2023,3149606,Pequi,122,5.1257
2023,3168101,Tapira,141,5.3211
2023,3145851,Oratórios,122,4.855
2023,3157500,Santa Efigênia de Minas,113,4.895
2023,3137403,Lagoa Dourada,416,5.0711
2023,3165305,São Vicente de Minas,178,5.2016
2023,3143401,Monte Sião,543,5.3953
2023,3163508,São José do Jacuri,183,4.5455
2023,3166808,Serra do Salitre,445,5.0433
2023,3148509,Pavão,200,4.4785
2023,3151602,Planura,271,4.9266
2023,3140852,Matias Cardoso,281,4.4512
2023,3165503,Sardoá,162,4.6865
2023,3140902,Matipó,627,4.6681
2023,3160405,Santo Antônio do Monte,730,5.3808
2023,3154101,Recreio,229,4.716
2023,3155603,Rio Pardo de Minas,810,4.6021
2023,3146107,Ouro Preto,1756,5.2249
